링크 ID,시작노드 ID,종료노드 ID,시군구명,읍면동명,link_len_m,geometry_wkt,geometry,flower_score,flower_score_overlap_m,maple_score,maple_score_overlap_m,shelter_dist_m,shelter_score,관광지명,tour_dist_m,R,tour_score,streetfood_score
15046,144064.0,144062.0,종로구,행촌동,20.77510895881992,"LINESTRING (196752.736443 552833.722946, 196759.807163 552843.37618, 196768.464901 552845.259609)","LINESTRING (196752.736443 552833.722946, 196759.807163 552843.37618, 196768.464901 552845.259609)",0.0,0.0,0.0,0.0,636.0645234302577,0.0,국립경찰박물관,335.3007626245323,100,0.0,0
46260,137733.0,137806.0,종로구,연건동,32.829831209076744,"LINESTRING (200047.789265 553003.899106, 200051.234534 552971.268514)","LINESTRING (200047.789265 553003.899106, 200051.234534 552971.268514)",0.0,0.0,0.065136512587313,0.0,370.2246881555682,0.0,마로니에공원,473.3142108283751,100,0.0,0
213838,135468.0,135413.0,종로구,익선동,21.55001744095442,"LINESTRING (199177.399854 552760.764017, 199175.89851 552764.75975, 199171.306617 552781.408473)","LINESTRING (199177.399854 552760.764017, 199175.89851 552764.75975, 199171.306617 552781.408473)",0.0,0.0,0.0053831334831225,0.0,403.35685820616266,0.0,탑골공원,413.7454651774544,100,0.0,0
156822,128749.0,128748.0,종로구,부암동,67.80805329294566,"LINESTRING (196880.627039 555361.330243, 196899.707054 555374.863734, 196922.392012 555346.109159, 196927.600212 555340.446794)","LINESTRING (196880.627039 555361.330243, 196899.707054 555374.863734, 196922.392012 555346.109159, 196927.600212 555340.446794)",0.0,0.0,0.0,0.0,1442.4426895637048,0.0,석파정 서울미술관,372.45301775143054,100,0.0,0
246931,128547.0,144093.0,종로구,행촌동,50.85838362243887,"LINESTRING (196678.539105 552847.847843, 196716.787855 552845.168901, 196729.243688 552846.051891)","LINESTRING (196678.539105 552847.847843, 196716.787855 552845.168901, 196729.243688 552846.051891)",0.0,0.0,0.0,0.0,668.321540952308,0.0,국립경찰박물관,335.3354680710978,100,0.0,0
49745,132471.0,132279.0,종로구,도렴동,22.7625980851819,"LINESTRING (197730.15252 552718.30307, 197728.833674 552741.056062)","LINESTRING (197730.15252 552718.30307, 197728.833674 552741.056062)",0.0,0.0,0.048953444161861,0.0,224.60937950471808,0.0,대한민국역사박물관,320.00889603100154,100,0.0,0
66619,128271.0,128272.0,종로구,구기동,20.924484782561912,"LINESTRING (196364.043992 556236.133825, 196349.387793 556240.024882, 196343.912323 556238.140481)","LINESTRING (196364.043992 556236.133825, 196349.387793 556240.024882, 196343.912323 556238.140481)",0.0,0.0,0.0,0.0,1029.8064589100866,0.0,석파정 서울미술관,1225.234231667196,100,0.0,0
247009,192637.0,192638.0,종로구,이화동,17.133603545773948,"LINESTRING (200477.454389 552944.644856, 200476.658386 552961.737035)","LINESTRING (200477.454389 552944.644856, 200476.658386 552961.737035)",0.0,0.0,0.3681422459677403,7.360297668444848,492.0945636150954,0.0,마로니에공원,530.8355907201757,100,0.0,0
155435,135667.0,135668.0,종로구,종로3가,4.990155314367412,"LINESTRING (199286.372125 552337.55515, 199281.424917 552337.000635)","LINESTRING (199286.372125 552337.55515, 199281.424917 552337.000635)",0.0,0.0,0.0563102955140609,0.0,74.73093253793945,0.2526906746206054,탑골공원,316.6450439649528,100,0.0,1
156827,128882.0,128879.0,종로구,신교동,53.64569487859865,"LINESTRING (197038.618514 553890.782051, 197047.806827 553897.660073, 197049.134276 553904.873863, 197060.616313 553904.092867, 197073.155047 553894.210445, 197080.397667 553893.985916)","LINESTRING (197038.618514 553890.782051, 197047.806827 553897.660073, 197049.134276 553904.873863, 197060.616313 553904.092867, 197073.155047 553894.210445, 197080.397667 553893.985916)",0.0,0.0,0.0,0.0,485.96925204342034,0.0,통인시장,500.9201276521257,200,0.0,0
49810,167190.0,86894.0,종로구,관철동,82.71435303546153,"LINESTRING (198503.099974 552167.625274, 198584.108488 552150.629846)","LINESTRING (198503.099974 552167.625274, 198584.108488 552150.629846)",0.0037515027820052,0.0,0.0,0.0,66.2689060455402,0.3373109395445979,탑골공원,461.7400226943299,100,0.0,0
2278,147290.0,147292.0,종로구,청운동,19.095959523372333,"LINESTRING (197473.022394 553951.23818, 197453.944505 553952.24291)","LINESTRING (197473.022394 553951.23818, 197453.944505 553952.24291)",0.0,0.0,0.1139602363423378,0.0,423.7645990409733,0.0,청와대,265.23383654708573,100,0.0,0
49823,73053.0,133846.0,종로구,계동,22.737616180464208,"LINESTRING (198859.96938 553804.315704, 198860.761211 553781.673918)","LINESTRING (198859.96938 553804.315704, 198860.761211 553781.673918)",0.0,0.0,0.0,0.0,620.024027568113,0.0,창덕궁,383.7692808899816,300,0.7207690637000614,0
66607,154068.0,154069.0,종로구,창신동,25.16651690948006,"LINESTRING (201334.333509 553351.400277, 201309.159229 553350.39737)","LINESTRING (201334.333509 553351.400277, 201309.159229 553350.39737)",0.0,0.0,0.0,0.0,723.2581748457536,0.0,청계천,527.4152775614849,100,0.0,0
154458,129122.0,129123.0,종로구,평동,19.09595952469716,"LINESTRING (197050.000107 551867.569043, 197051.053493 551848.47868)","LINESTRING (197050.000107 551867.569043, 197051.053493 551848.47868)",0.1079028549925267,0.0,0.2019121331298755,0.0,89.40483353045343,0.1059516646954656,서울역사박물관,543.2682010361414,100,0.0,0
227826,129438.0,129440.0,종로구,통인동,14.219622051724414,"LINESTRING (197278.447842 553429.098301, 197287.899029 553428.540264, 197292.316172 553430.425628)","LINESTRING (197278.447842 553429.098301, 197287.899029 553428.540264, 197292.316172 553430.425628)",0.0,0.0,0.0,0.0,150.5859061170148,0.0,통인시장,65.66851459870799,200,1.0,0
66008,129738.0,129740.0,종로구,필운동,18.190242968266947,"LINESTRING (197288.542939 552966.161844, 197282.088889 552949.182717)","LINESTRING (197288.542939 552966.161844, 197282.088889 552949.182717)",0.0369879074443506,0.0,0.0369879074443506,0.0,312.9035570065579,0.0,통인시장,506.0127996735967,200,0.0,0
247474,136947.0,136918.0,종로구,혜화동,23.82224180284668,"LINESTRING (200060.942338 554208.902228, 200039.126793 554199.35707)","LINESTRING (200060.942338 554208.902228, 200039.126793 554199.35707)",0.0,0.0,0.4067099542263211,17.1165329207122,371.1335759593404,0.0,국립어린이과학관,642.7464324316604,100,0.0,0
244429,135351.0,135383.0,종로구,와룡동,30.22893021317172,"LINESTRING (199117.188076 553085.078505, 199123.721689 553055.554874)","LINESTRING (199117.188076 553085.078505, 199123.721689 553055.554874)",0.0,0.0,0.0666013090124979,0.0,270.7055533086876,0.0,북촌 한옥마을,371.3539697745829,250,0.5145841209016683,0
247519,127955.0,127958.0,종로구,삼청동,20.26455793971308,"LINESTRING (198409.887716 553962.881521, 198409.97685 553967.099073, 198404.326965 553982.194614)","LINESTRING (198409.887716 553962.881521, 198409.97685 553967.099073, 198404.326965 553982.194614)",0.0,0.0,0.056715309821564,0.0,917.7970544609204,0.0,광화문,480.67703432438185,100,0.0,0
247519,127955.0,127958.0,종로구,삼청동,20.26455793971308,"LINESTRING (198409.887716 553962.881521, 198409.97685 553967.099073, 198404.326965 553982.194614)","LINESTRING (198409.887716 553962.881521, 198409.97685 553967.099073, 198404.326965 553982.194614)",0.0,0.0,0.056715309821564,0.0,917.7970544609204,0.0,국립고궁박물관,480.67703432438185,100,0.0,0
247519,127955.0,127958.0,종로구,삼청동,20.26455793971308,"LINESTRING (198409.887716 553962.881521, 198409.97685 553967.099073, 198404.326965 553982.194614)","LINESTRING (198409.887716 553962.881521, 198409.97685 553967.099073, 198404.326965 553982.194614)",0.0,0.0,0.056715309821564,0.0,917.7970544609204,0.0,경복궁,480.67703432438185,300,0.3977432189187272,0
247530,160571.0,160658.0,종로구,창신동,9.574823037133008,"LINESTRING (201245.856905 552553.601368, 201249.391835 552544.722827)","LINESTRING (201245.856905 552553.601368, 201249.391835 552544.722827)",0.0,0.0,0.0,0.0,81.35779686923453,0.1864220313076546,청계천,320.07955033147465,100,0.0,0
65953,137016.0,137017.0,종로구,혜화동,25.44062040688776,"LINESTRING (200088.059046 554040.865625, 200077.548411 554049.078681, 200069.334212 554057.9577)","LINESTRING (200088.059046 554040.865625, 200077.548411 554049.078681, 200069.334212 554057.9577)",0.0,0.0,0.0,0.0,206.4048245114527,0.0,국립어린이과학관,539.7351013583831,100,0.0,0
153449,137925.0,137911.0,종로구,연지동,24.30628407476124,"LINESTRING (199962.986651 552788.470447, 199985.336017 552797.904396)","LINESTRING (199962.986651 552788.470447, 199985.336017 552797.904396)",0.0,0.0,0.6345918390542129,21.34423649807007,203.180542390915,0.0,광장시장,489.6683866851278,200,0.0,0
165167,135262.0,135263.0,종로구,명륜3가,18.76642751351361,"LINESTRING (199382.643656 554424.465036, 199391.828522 554418.914922, 199394.124615 554415.80707, 199394.389267 554411.589479)","LINESTRING (199382.643656 554424.465036, 199391.828522 554418.914922, 199394.124615 554415.80707, 199394.389267 554411.589479)",0.0,0.0,0.0,0.0,869.2765999441395,0.0,창덕궁,738.738886360533,300,0.0,0
148484,127551.0,127552.0,종로구,숭인동,19.362445325826123,"LINESTRING (201854.809757 552831.519154, 201864.795542 552814.984111)","LINESTRING (201854.809757 552831.519154, 201864.795542 552814.984111)",0.0,0.0,0.0339578763984881,0.0,283.8578537927369,0.0,동묘 벼룩시장,357.60528253778534,100,0.0,0
246939,36917.0,135482.0,종로구,돈의동,22.468986877173847,"LINESTRING (199183.659918 552639.675022, 199205.126927 552646.443233)","LINESTRING (199183.659918 552639.675022, 199205.126927 552646.443233)",0.0,0.0,0.558741693093958,17.902176481904796,288.1945576661559,0.0,탑골공원,318.6746734418779,100,0.0,0
48695,149781.0,149785.0,종로구,이화동,7.676844602861911,"LINESTRING (200687.502228 553118.800531, 200680.877518 553114.804399)","LINESTRING (200687.502228 553118.800531, 200680.877518 553114.804399)",0.0,0.0,0.0,0.0,675.2823742699715,0.0,낙산공원,396.0703334480031,100,0.0,0
66042,156464.0,167001.0,종로구,세종로,31.93443047565172,"LINESTRING (197913.767943 552912.595677, 197911.639864 552880.742521)","LINESTRING (197913.767943 552912.595677, 197911.639864 552880.742521)",0.0,0.0,0.1226485569924421,0.0,319.8897274600316,0.0,대한민국역사박물관,220.96959424043547,100,0.0,0
49969,149781.0,149780.0,종로구,이화동,27.370685361959502,"LINESTRING (200687.502228 553118.800531, 200683.789976 553145.881419)","LINESTRING (200687.502228 553118.800531, 200683.789976 553145.881419)",0.0,0.0,0.0,0.0,676.939739436726,0.0,낙산공원,369.1756416761024,100,0.0,0
247684,156905.0,156906.0,종로구,숭인동,47.245509833165634,"LINESTRING (201387.930859 552941.528507, 201395.086612 552938.200053, 201400.918795 552926.21428, 201405.161492 552911.009577, 201406.753272 552900.798908)","LINESTRING (201387.930859 552941.528507, 201395.086612 552938.200053, 201400.918795 552926.21428, 201405.161492 552911.009577, 201406.753272 552900.798908)",0.0,0.0,0.0,0.0,355.37195824077673,0.0,청계천,269.61034044656617,100,0.0,0
50542,194859.0,159496.0,종로구,창신동,19.28686577013102,"LINESTRING (201190.081773 552781.563411, 201185.754143 552775.23645, 201178.77679 552766.023415)","LINESTRING (201190.081773 552781.563411, 201185.754143 552775.23645, 201178.77679 552766.023415)",0.0,0.0,0.1643158263195772,0.0629171403278995,266.0372814377436,0.0,청계천,91.4731489737769,100,1.0,0
50544,157622.0,130147.0,종로구,평창동,32.498785846470426,"LINESTRING (197608.14618 556966.433819, 197577.858287 556954.677763)","LINESTRING (197608.14618 556966.433819, 197577.858287 556954.677763)",0.0,0.0,0.0,0.0,2456.216866880794,0.0,북악스카이웨이,1324.43591867077,300,0.0,0
50548,122662.0,93763.0,종로구,숭인동,43.865586785035184,"LINESTRING (201803.745026 552859.144026, 201841.283059 552881.793915)","LINESTRING (201803.745026 552859.144026, 201841.283059 552881.793915)",0.0,0.0,0.232952580383439,0.0,276.4844755604089,0.0,동묘 벼룩시장,335.3080085589548,100,0.0,0
50346,130112.0,132750.0,종로구,평창동,176.1403984041141,"LINESTRING (197830.987718 557266.820244, 197836.724171 557257.71763, 197874.589978 557216.752815, 197883.238875 557202.876951, 197890.827778 557186.892571, 197883.497142 557177.016401, 197891.874137 557135.282329, 197882.775394 557116.638464)","LINESTRING (197830.987718 557266.820244, 197836.724171 557257.71763, 197874.589978 557216.752815, 197883.238875 557202.876951, 197890.827778 557186.892571, 197883.497142 557177.016401, 197891.874137 557135.282329, 197882.775394 557116.638464)",0.0,0.0,0.0,0.0,2801.023870007433,0.0,북악팔각정,1389.1079347427583,100,0.0,0
26462,152599.0,152600.0,종로구,창신동,24.03892287927848,"LINESTRING (200990.540287 552674.655336, 200966.688553 552677.427234)","LINESTRING (200990.540287 552674.655336, 200966.688553 552677.427234)",0.0,0.0,0.0312740566564974,0.0,211.30292279913385,0.0,청계천,228.5388167381853,100,0.0,0
238731,16507.0,130575.0,종로구,효자동,28.30067905949228,"LINESTRING (197494.495835 553693.405075, 197505.272518 553695.732589, 197516.492196 553702.610517, 197515.963459 553706.717254)","LINESTRING (197494.495835 553693.405075, 197505.272518 553695.732589, 197516.492196 553702.610517, 197515.963459 553706.717254)",0.0,0.0,0.0,0.0,185.5381735031476,0.0,청와대,123.2168529812733,100,0.7678314701872669,0
150792,135626.0,135634.0,종로구,봉익동,70.09454339041378,"LINESTRING (199332.589579 552518.018416, 199360.241079 552531.11287, 199365.010587 552519.902675, 199367.041912 552513.354204, 199375.697865 552494.818487)","LINESTRING (199332.589579 552518.018416, 199360.241079 552531.11287, 199365.010587 552519.902675, 199367.041912 552513.354204, 199375.697865 552494.818487)",0.0,0.0,0.3003121994198803,8.201220953779382,110.23666355058783,0.0,탑골공원,379.3039586730481,100,0.0,0
65230,145576.0,145607.0,종로구,평창동,164.88881348063984,"LINESTRING (197319.538321 556760.082305, 197310.172597 556740.218284, 197314.318592 556728.230114, 197366.051414 556702.13107, 197370.728094 556692.69551, 197374.416971 556630.984392)","LINESTRING (197319.538321 556760.082305, 197310.172597 556740.218284, 197314.318592 556728.230114, 197366.051414 556702.13107, 197370.728094 556692.69551, 197374.416971 556630.984392)",0.0,0.0,0.0,0.0,2114.3587448006283,0.0,북악스카이웨이,1119.436589931047,300,0.0,0
