,링크 ID,시작노드 ID,종료노드 ID,시군구명,읍면동명,geometry_wkt,link_len_m,flower_score,maple_score,shelter_score,streetfood_score,tour_score,wind_score
0,15046,144064.0,144062.0,종로구,행촌동,"LINESTRING (196752.763433 552833.754958, 196759.815743 552843.419234, 196768.435233 552845.247611)",20.77510895881992,0.0,0.0,0.0,0,0.1742477512819573,0.88
1,46260,137733.0,137806.0,종로구,연건동,"LINESTRING (200047.777482 553003.953165, 200051.200559 552971.302279)",32.829831209076744,0.0,0.7998098634155824,0.0,0,0.122523915592392,0.88
2,213838,135468.0,135413.0,종로구,익선동,"LINESTRING (199177.427605 552760.815788, 199175.860425 552764.733738, 199171.289484 552781.450325)",21.55001744095442,0.0,0.957365465907276,0.0,0,0.8448234323155914,0.88
3,156822,128749.0,128748.0,종로구,부암동,"LINESTRING (196880.619202 555361.289804, 196899.686558 555374.872031, 196922.410668 555346.140398, 196927.634602 555340.394071)",67.80805329294566,0.0,0.0,0.0,0,0.1603443800075847,0.88
4,246931,128547.0,144093.0,종로구,행촌동,"LINESTRING (196678.518281 552847.859578, 196716.781402 552845.193025, 196729.255733 552846.031201)",50.85838362243887,0.0,0.0,0.0,0,0.1742453944455073,0.88
5,49745,132471.0,132279.0,종로구,도렴동,"LINESTRING (197730.119006 552718.278833, 197728.812966 552741.003932)",22.7625980851819,0.0,0.1889470975494342,0.0,0,0.179984381373571,0.88
6,66619,128271.0,128272.0,종로구,구기동,"LINESTRING (196364.037494 556236.102741, 196349.41048 556240.020691, 196343.92535 556238.192314)",20.924484782561912,0.0,0.25,0.0,0,0.0,0.84
7,247009,192637.0,192638.0,종로구,이화동,"LINESTRING (200477.472359 552944.608863, 200476.682419 552961.724246)",17.133603545773948,0.0,1.0,0.0,0,0.1009283363468652,0.88
8,155435,135667.0,135668.0,종로구,종로3가,"LINESTRING (199286.346615 552337.54659, 199281.383879 552337.024196)",4.990155314367412,0.0,0.375,0.6262255892409991,0,0.8812749816452193,0.88
9,156827,128882.0,128879.0,종로구,신교동,"LINESTRING (197038.643185 553890.817869, 197047.785069 553897.608982, 197049.091052 553904.922489, 197060.583705 553904.138899, 197073.121145 553894.213425, 197080.434652 553893.952229)",53.64569487859865,0.0,0.125,0.0,0,0.1121730105454126,0.88
10,49810,167190.0,86894.0,종로구,관철동,"LINESTRING (198503.129191 552167.590815, 198584.091692 552150.657482)",82.71435303546153,0.0,0.3122967874878996,0.6686634483365995,0,0.1268478461334168,0.88
11,2278,147290.0,147292.0,종로구,청운동,"LINESTRING (197472.988755 553951.252247, 197453.921399 553952.297034)",19.095959523372333,0.0,0.810863417584095,0.0,0,0.2005254498454411,0.88
12,49823,73053.0,133846.0,종로구,계동,"LINESTRING (198859.943057 553804.361772, 198860.726647 553781.637662)",22.737616180464208,0.0,0.0,0.0,0,0.8560771553519037,0.88
13,66607,154068.0,154069.0,종로구,창신동,"LINESTRING (201334.338775 553351.448766, 201309.192775 553350.432766)",25.16651690948006,0.0895727860964746,0.0,0.0,0,0.1022025608448022,0.88
14,154458,129122.0,129123.0,종로구,평동,"LINESTRING (197050.00524 551867.588487, 197051.050027 551848.52113)",19.09595952469716,0.9639153729958656,1.0,0.5528219802251852,0,0.0962819149454974,0.88
15,227826,129438.0,129440.0,종로구,통인동,"LINESTRING (197278.462537 553429.087461, 197287.865618 553428.565067, 197292.305961 553430.393444)",14.219622051724414,0.125,0.125,0.246924663373247,0,0.9753641232097308,0.88
16,66008,129738.0,129740.0,종로구,필운동,"LINESTRING (197288.583908 552966.116369, 197282.053992 552949.138585)",18.190242968266947,0.3611343063825817,0.343929971097251,0.0,0,0.1102299835617237,0.88
17,247474,136947.0,136918.0,종로구,혜화동,"LINESTRING (200060.943162 554208.876187, 200039.088134 554199.396897)",23.82224180284668,0.0,1.0,0.0,0,0.058963928310281,0.88
18,244429,135351.0,135383.0,종로구,와룡동,"LINESTRING (199117.156474 553085.09145, 199123.686391 553055.576227)",30.22893021317172,0.0,0.0901693977996952,0.0,0,0.1607548953989985,0.88
19,247519,127955.0,127958.0,종로구,삼청동,"LINESTRING (198409.901199 553962.908149, 198409.984419 553967.087696, 198404.364888 553982.158256)",20.26455793971308,0.0,0.8967296474944259,0.0,0,0.8197294317755917,0.88
20,247530,160571.0,160658.0,종로구,창신동,"LINESTRING (201245.819775 552553.634765, 201249.375775 552544.744765)",9.574823037133008,0.0,0.0,0.5931346665617063,0,0.179986791503313,0.88
21,65953,137016.0,137017.0,종로구,혜화동,"LINESTRING (200088.064463 554040.882112, 200077.531919 554049.044833, 200069.369197 554057.997496)",25.44062040688776,0.0,0.0,0.0,0,0.0976130392054258,0.88
22,153449,137925.0,137911.0,종로구,연지동,"LINESTRING (199962.990504 552788.430985, 199985.37216 552797.910275)",24.30628407476124,0.0,0.9519775846548988,0.0,0,0.116388745019436,0.88
23,165167,135262.0,135263.0,종로구,명륜3가,"LINESTRING (199382.662886 554424.442659, 199391.80477 554418.957529, 199394.15554 554415.823169, 199394.416736 554411.644023)",18.76642751351361,0.25,0.0,0.0,0,0.022950711586737,0.88
24,148484,127551.0,127552.0,종로구,숭인동,"LINESTRING (201854.80484 552831.551294, 201864.766736 552814.948134)",19.362445325826123,0.0,0.75,0.0,0,0.1659140638293023,0.94
25,246939,36917.0,135482.0,종로구,돈의동,"LINESTRING (199183.696325 552639.620535, 199205.114452 552646.411648)",22.468986877173847,0.0,1.0,0.0,0,0.8805031519418076,0.88
